statement national reference no: 924566, date: 30.06.2017, salesperiode: 01.06.2017-30.06.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Dmand;Spotify;CH;4;0,004;0,004;0,014
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);What We¦ve Said;Spotify;FR;1;0,002;0,001;0,001
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Long Day;Spotify;IT;2;0,002;0,002;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Just Look;Spotify;FR;2;0,002;0,001;0,003
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);22h;Spotify;CH;7;0,005;0,004;0,027
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Dmand;Spotify;IT;1;0,002;0,002;0,002
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Man Without a Back;Spotify;BE;5;0,005;0,004;0,018
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);The Flowers Are Gone;Spotify;CH;4;0,005;0,004;0,017
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Long Day;Deezer;CH;2;0,010;0,008;0,016
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Happy in the Dark;Spotify;CH;2;0,004;0,003;0,006
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Man Without a Back;Spotify;FR;3;0,002;0,001;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);The Flowers Are Gone;Spotify;US;1;0,006;0,005;0,005
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Long Day;Spotify;CH;37;0,004;0,003;0,129
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Happy in the Dark;Spotify;IT;2;0,002;0,002;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Dmand;Deezer;CH;2;0,010;0,008;0,016
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);What We¦ve Said;Spotify;CH;4;0,005;0,004;0,017
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Long Day;Spotify;FR;3;0,002;0,001;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Just Look;Spotify;CH;4;0,005;0,004;0,017
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);22h;Deezer;CH;1;0,010;0,008;0,008
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Dmand;Spotify;FR;2;0,002;0,001;0,003
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Man Without a Back;Deezer;CH;2;0,010;0,008;0,016
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);The Flowers Are Gone;Deezer;CH;2;0,010;0,008;0,016
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);22h;Spotify;FR;2;0,002;0,001;0,003
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Happy in the Dark;Deezer;CH;1;0,010;0,008;0,008
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Man Without a Back;Spotify;CH;29;0,005;0,004;0,110
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);The Flowers Are Gone;Spotify;FR;2;0,002;0,001;0,003
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Long Day;Spotify;BE;5;0,005;0,004;0,018
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);Happy in the Dark;Spotify;FR;1;0,002;0,001;0,001
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);A Man Without a Back;Spotify;IT;1;0,002;0,002;0,002
7" 06271;4250137262710;Lonesome Station;Lonesome Station (Ö CD);What We¦ve Said;Deezer;CH;1;0,010;0,008;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;CZ;1;0,001;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;FR;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;FR;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;US;5;0,002;0,002;0,009
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;FR;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;US;4;0,003;0,003;0,011
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;ES;2;0,002;0,002;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;YouTube;DE;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Apple Music;AU;1;0,009;0,007;0,007
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;AR;1;0,002;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;AU;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Google Subscription;AU;4;0,006;0,005;0,020
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;FR;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Google Subscription;AU;5;0,006;0,005;0,026
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;AU;2;0,005;0,004;0,009
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;BE;1;0,003;0,003;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;DE;3;0,005;0,004;0,012
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;DE;2;0,005;0,004;0,008
