statement national reference no: 924783, date: 31.07.2017, salesperiode: 01.07.2017-31.07.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;NZ;10;0,005;0,004;0,039
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Amazon Music Unlimited;GB;2;0,008;0,007;0,014
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);iTunes;AU;1;0,520;0,416;0,416
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;NL;2;0,003;0,002;0,004
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;GB;6;0,003;0,002;0,014
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Apple Music;IT;1;0,012;0,010;0,010
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;CZ;1;0,000;0,000;0,000
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;GB;4;0,001;0,001;0,002
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Deezer;FR;1;0,006;0,005;0,005
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;AU;1;0,001;0,001;0,001
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Apple Music;US;3;0,006;0,005;0,016
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Apple Music;PL;1;0,005;0,004;0,004
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Apple Music;DE;1;0,006;0,005;0,005
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Apple Music;US;1;0,006;0,005;0,005
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Apple Music;PL;1;0,005;0,004;0,004
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;8tracks;CA;8647;0,000;0,000;1,947
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;PE;1;0,000;0,000;0,000
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;US;16;0,006;0,005;0,077
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Rhapsody / Napster;FR;1;0,008;0,006;0,006
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Deezer;FR;1;0,006;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;IE;8;0,006;0,004;0,036
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;PL;7;0,001;0,001;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;NO;11;0,014;0,012;0,127
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;CH;1;0,000;0,000;0,000
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Apple Music;US;2;0,006;0,005;0,010
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;CO;1;0,000;0,000;0,000
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;TIDAL;CH;1;0,019;0,015;0,015
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Apple Music;DE;3;0,006;0,005;0,015
