statement national reference no: 928740, date: 31.01.2019, salesperiode: 01.01.2019-31.01.2019

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;DENP21000027;iTunes/Apple;Stream;Slovenia;1;0,003;0,002;0,002
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;DENP21000036;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snakes;DENP21000032;iTunes/Apple;Stream;Germany;4;0,007;0,005;0,021
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;On the Sun;DENP21000031;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy in the Morning Sun;DENP21000029;iTunes/Apple;Stream;Netherlands;1;0,007;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;DENP21000033;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Seaman-Like;DENP21000034;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;DENP21000027;iTunes/Apple;Stream;Germany;4;0,009;0,007;0,027
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;DENP21000036;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snakes;DENP21000032;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;On the Sun;DENP21000031;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy in the Morning Sun;DENP21000029;iTunes/Apple;Stream;Germany;6;0,006;0,005;0,028
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;DENP21000033;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Paintbox;DENP21000037;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;DENP21000027;iTunes/Apple;Stream;Australia;1;0,000;0,000;0,000
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snail´s Shell;DENP21000028;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Mirrorball;DENP21000035;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy in the Morning Sun;DENP21000029;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Stones;DENP21000030;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Paintbox;DENP21000037;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;DENP21000027;Amazon Digital Services Inc,;Stream;Germany;16;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snail´s Shell;DENP21000028;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Mirrorball;DENP21000035;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06257;4250137262574;Torben Stock;Rocket;Sad Movie Song;DEZ651101243;iTunes/Apple;Stream;Germany;1;0,001;0,001;0,001
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;At the Corner;DENP21100061;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Siegfried;DENP21100067;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Riot;DENP21100069;iTunes/Apple;Stream;Switzerland;1;0,001;0,001;0,001
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Riot;DENP21100069;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Lowlight;DENP21100066;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Unlink;DENP21100065;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Interlude;DENP21100062;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;U;DENP21100063;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Autumn;DENP21100068;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06258;4250137262581;Overdrive Amp Explosion;Blanks;Stzar;DENP21100064;Deezer;Stream;Germany;3;0,006;0,005;0,015
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;DENP21100079;Amazon Unlimited;Stream;USA;3;0,012;0,010;0,029
CD 06261;4250137262611;Owls Of The Swamp;Go With River;By the Riverside;DENP21100083;Google Play;Stream;United Kingdom;1;0,008;0,007;0,007
